city,lat,lng,admin_name
Aït Majdane,31.8514,-6.9658,Béni Mellal-Khénifra
Sahel,34.9667,-4.55,Tanger-Tétouan-Al Hoceïma
Dar Chaifat,32.55,-7.5,Casablanca-Settat
Awlouz,30.7,-8.15,Souss-Massa
Milla’ab,31.4737,-4.7424,Drâa-Tafilalet
Ketama,34.9158,-4.5686,Tanger-Tétouan-Al Hoceïma
Galaz,34.55,-4.8,Fès-Meknès
Chouafaa,34.7667,-6.05,Rabat-Salé-Kénitra
Tagounite,29.9585,-5.9151,Drâa-Tafilalet
Sidi Yakoub,31.6667,-7.0667,Béni Mellal-Khénifra
Knemis Dades,31.309,-6.028,Drâa-Tafilalet
Oulad Amrane,32.2833,-9.2333,Marrakech-Safi
Qal’at Mgouna,31.2414,-6.1283,Drâa-Tafilalet
Douar Lamjaara,34.6147,-5.2887,Tanger-Tétouan-Al Hoceïma
Ratba,34.7833,-4.9333,Fès-Meknès
Sidi Lamine,32.9,-6.05,Béni Mellal-Khénifra
Ouaouzgane,35.0167,-4.5167,Tanger-Tétouan-Al Hoceïma
Ribat Al Khayr,33.82,-4.41,Fès-Meknès
Agourai,33.6333,-5.5833,Fès-Meknès
Sidi Ettiji,32.1717,-8.8686,Marrakech-Safi
Douar Tabouda,34.7167,-5.1333,Fès-Meknès
Zirara,32.35,-8.5333,Casablanca-Settat
Mensora,34.8356,-4.9655,Tanger-Tétouan-Al Hoceïma
Tamallalt,31.8289,-7.5261,Marrakech-Safi
Goulmima,31.6944,-4.9592,Drâa-Tafilalet
Outat Oulad Al Haj,33.3333,-3.6833,Fès-Meknès
Sebt Aït Saghiouchen,34.0122,-4.5536,Fès-Meknès
’Ayn Bni Mathar,34.0889,-2.0247,Oriental
Timezgana,34.5833,-4.7333,Fès-Meknès
Talsint,32.5398,-3.4408,Oriental
Al Qbab,32.7333,-5.5167,Béni Mellal-Khénifra
Bni Tajjit,32.2833,-3.4833,Oriental
Zegzel,34.8407,-2.3543,Oriental
Douar Azla,35.5564,-5.2453,Tanger-Tétouan-Al Hoceïma
Masmouda,34.7862,-5.7078,Tanger-Tétouan-Al Hoceïma
Ait Yaazem,33.7333,-5.5833,Fès-Meknès
Bouchabel,34.3833,-5.0167,Fès-Meknès
Bni Quolla,34.738,-5.5441,Tanger-Tétouan-Al Hoceïma
Bou Djeniba,32.9,-6.7833,Béni Mellal-Khénifra
Khat Azakane,32.2226,-9.1343,Marrakech-Safi
Sidi Azzouz,31.7667,-7.6667,Marrakech-Safi
Zemrane,31.67,-7.44,Marrakech-Safi
Caidat Sidi Boubker El Haj,34.9148,-6.0735,Rabat-Salé-Kénitra
L’Oulja,34.2894,-4.9481,Fès-Meknès
Ras el Oued,34.15,-4.0,Fès-Meknès
Haddada,34.2236,-6.5111,Rabat-Salé-Kénitra
Sidi Allal el Bahraoui,33.983,-6.417,Rabat-Salé-Kénitra
Tamazouzt,31.3833,-8.3833,Marrakech-Safi
Ras El Oued,34.339,-4.5558,Fès-Meknès
Aïn Mediouna,34.5,-4.55,Fès-Meknès
Sebt Bni Smith,35.1373,-4.7107,Tanger-Tétouan-Al Hoceïma
Skhour Rehamna,32.4833,-7.9167,Marrakech-Safi
Al Hammam,33.1868,-5.6225,Béni Mellal-Khénifra
Ezzhiliga,33.3,-6.5333,Rabat-Salé-Kénitra
Anazzou,30.6333,-8.05,Souss-Massa
Tendrara,33.05,-2.0,Oriental
Aç-çahrij,31.8,-7.14,Marrakech-Safi
Moul El Bergui,32.5113,-8.9849,Marrakech-Safi
Aïn Jemaa,34.0333,-5.8,Fès-Meknès
Tazert,31.6597,-7.4092,Marrakech-Safi
Souk Et-Tleta des Oulad Hamdane,33.1047,-8.2495,Casablanca-Settat
Tirhassaline,32.7833,-5.65,Béni Mellal-Khénifra
Douar El Arbaa Bou Quorra,34.749,-5.1982,Tanger-Tétouan-Al Hoceïma
Oulad Bou Rahmoun,32.2954,-6.6668,Béni Mellal-Khénifra
Mellila,33.3833,-7.1333,Casablanca-Settat
Sabbah,33.8036,-7.0372,Rabat-Salé-Kénitra
Midar,34.95,-3.5333,Oriental
Esbiaat,32.2044,-8.5608,Marrakech-Safi
Douar Souk L‘qolla,35.0718,-5.5702,Tanger-Tétouan-Al Hoceïma
Tabant,31.6581,-6.42,Béni Mellal-Khénifra
’Tlat Bni Oukil,32.577,-6.84,Béni Mellal-Khénifra
Sidi Zouine,31.6706,-8.3508,Marrakech-Safi
Oued Jdida,33.9333,-5.3667,Fès-Meknès
Gourrama,32.3333,-4.0833,Drâa-Tafilalet
Aghbal,34.9394,-2.1272,Oriental
Nzalat Laadam,32.1,-7.95,Marrakech-Safi
Ighrem n’Ougdal,31.2333,-7.4333,Drâa-Tafilalet
Bni Darkoul,35.0563,-5.0688,Tanger-Tétouan-Al Hoceïma
Driouch,34.9833,-3.3833,Oriental
Douar Oulad Driss,31.9039,-8.3024,Marrakech-Safi
Oulad Driss,31.9996,-8.2276,Marrakech-Safi
Mediouna,33.45,-7.51,Casablanca-Settat
Ifrane,33.5333,-5.1167,Fès-Meknès
Wawizaght,32.1586,-6.355,Béni Mellal-Khénifra
Ayt ’Attou ou L’Arbi,31.5456,-8.2967,Marrakech-Safi
Madagh,35.0133,-2.3397,Oriental
Boula’wane,32.8607,-8.053,Casablanca-Settat
Tagalft,32.2389,-6.1238,Béni Mellal-Khénifra
Ourtzagh,34.55,-4.9333,Fès-Meknès
Sidi Azzouz,34.5411,-5.7516,Rabat-Salé-Kénitra
Zaouiat Moulay Bouchta El Khammar,34.4833,-5.1167,Fès-Meknès
Ihaddadene,31.2,-9.65,Marrakech-Safi
Ait Yazza,30.5063,-8.7931,Souss-Massa
Ben Taieb,35.0837,-3.4696,Oriental
Tafrant,34.625,-5.1242,Fès-Meknès
Bou Izakarn,29.1667,-9.7333,Guelmim-Oued Noun
Douar Hammadi,31.609,-8.4604,Marrakech-Safi
Bezou,32.0833,-7.05,Béni Mellal-Khénifra
Talwat,31.2883,-7.2372,Drâa-Tafilalet
Sidi Abdelkarim,33.1869,-7.2333,Casablanca-Settat
Temsamane,35.1167,-3.6333,Oriental
Oulad Chikh,32.8544,-7.5386,Casablanca-Settat
Toulal,32.3036,-3.9861,Drâa-Tafilalet
Khmis Sidi al ’Aydi,33.1228,-7.6219,Casablanca-Settat
Arbaa Laaounate,32.7446,-8.1942,Casablanca-Settat
Douar Lehgagcha,32.55,-8.7167,Casablanca-Settat
Mqam at Tolba,34.0173,-6.25,Rabat-Salé-Kénitra
Targuist,34.95,-4.3,Tanger-Tétouan-Al Hoceïma
Kissane Ltouqi,34.6,-5.0833,Fès-Meknès
Tounfit,32.4667,-5.2333,Drâa-Tafilalet
Reggada,29.5205,-9.6664,Souss-Massa
Sebt Labrikiyne,32.2944,-8.0722,Marrakech-Safi
El Kansera,34.0419,-5.9272,Rabat-Salé-Kénitra
Douar Sidi Laaroussi,31.845,-9.1586,Marrakech-Safi
Zayda,32.8167,-4.95,Drâa-Tafilalet
Asjen,34.85,-5.6167,Tanger-Tétouan-Al Hoceïma
Bhalil,33.85,-4.8667,Fès-Meknès
Ksar Sghir,35.8419,-5.5586,Tanger-Tétouan-Al Hoceïma
Sebt Bni Garfett,35.25,-5.8333,Tanger-Tétouan-Al Hoceïma
Bou Fekrane,33.7667,-5.4833,Fès-Meknès
Bni Khloug,32.65,-7.3833,Casablanca-Settat
Douar Oulad Youssef,32.4807,-6.3769,Béni Mellal-Khénifra
Kasba Tanora,32.4751,-6.1498,Béni Mellal-Khénifra
Aghbala,32.4833,-5.6333,Béni Mellal-Khénifra
Tizgane,35.4136,-5.0696,Tanger-Tétouan-Al Hoceïma
Zag,28.0167,-9.3333,Guelmim-Oued Noun
Oulad Rahmoun,32.3278,-6.5006,Béni Mellal-Khénifra
Laamarna,31.8944,-8.9842,Marrakech-Safi
Bou Adel,34.5428,-4.5075,Fès-Meknès
Aït Youssef Ou Ali,31.9833,-5.7833,Drâa-Tafilalet
Ahermoumou,33.8184,-4.4106,Fès-Meknès
El Menzel,33.8389,-4.5458,Fès-Meknès
Souakene,35.1167,-5.95,Tanger-Tétouan-Al Hoceïma
Teroual,34.6667,-5.2667,Tanger-Tétouan-Al Hoceïma
Tamsaout,29.5333,-8.85,Souss-Massa
Oulad Ouchchih,35.0939,-5.9454,Tanger-Tétouan-Al Hoceïma
Ounagha,31.5333,-9.55,Marrakech-Safi
Boumia,32.7228,-5.1053,Drâa-Tafilalet
Oulad Fares,35.5167,-5.9333,Tanger-Tétouan-Al Hoceïma
Oulad Aïssa,30.558,-8.614,Souss-Massa
Jaidte Lbatma,31.6806,-7.7281,Marrakech-Safi
Boumalne,31.4236,-6.0722,Drâa-Tafilalet
Nkheila,32.9239,-7.0692,Casablanca-Settat
Aj Jourf,31.4903,-4.4014,Drâa-Tafilalet
Ar Rommani,33.5333,-6.6167,Rabat-Salé-Kénitra
Ain Kansara,34.15,-4.8314,Fès-Meknès
Guisser,32.7667,-7.5,Casablanca-Settat
Gharbia,35.5153,-5.9306,Tanger-Tétouan-Al Hoceïma
Oulad Hamdane,32.3736,-8.5395,Marrakech-Safi
Malloussa,35.7333,-5.6333,Tanger-Tétouan-Al Hoceïma
Tahannawt,31.3514,-7.9508,Marrakech-Safi
Mayate,32.2667,-7.5167,Marrakech-Safi
Steha,35.3646,-4.9306,Tanger-Tétouan-Al Hoceïma
Al Fayd,30.6167,-8.2167,Souss-Massa
Oulad Daoud,34.4058,-4.6939,Fès-Meknès
Ain Beida,31.585,-8.608,Marrakech-Safi
Souq Jamaa Fdalate,33.5911,-7.2792,Casablanca-Settat
Sidi Yahia,30.4969,-8.8211,Souss-Massa
Aït I’yach,32.6667,-4.9556,Drâa-Tafilalet
Matmata,34.1,-4.55,Fès-Meknès
Tizi Nisly,32.4667,-5.7667,Béni Mellal-Khénifra
Zemamra,32.6215,-8.7023,Casablanca-Settat
Oulad Amrane el Mekki,35.2167,-5.9667,Tanger-Tétouan-Al Hoceïma
El Arba Des Bir Lenni,34.3272,-4.2039,Fès-Meknès
Tiddas,33.5665,-6.2659,Rabat-Salé-Kénitra
Toualet,32.7333,-7.1833,Casablanca-Settat
Sidi Amer El Hadi,34.7992,-5.8394,Rabat-Salé-Kénitra
Tifni,31.6281,-6.9444,Béni Mellal-Khénifra
Tamezmout,30.8075,-6.1142,Drâa-Tafilalet
Moulay Driss Zerhoun,34.0542,-5.5272,Fès-Meknès
Oulad Friha,32.6108,-7.625,Casablanca-Settat
Oulad Hamdane,32.3333,-6.3667,Béni Mellal-Khénifra
Derdara,35.1103,-5.2872,Tanger-Tétouan-Al Hoceïma
Sidi Kasem,35.5339,-5.2183,Tanger-Tétouan-Al Hoceïma
Taïneste,34.5573,-4.136,Fès-Meknès
Al M’aziz,33.6667,-6.3167,Rabat-Salé-Kénitra
Dzouz,31.89,-7.32,Marrakech-Safi
Bouabout,31.2667,-9.1833,Marrakech-Safi
Tawnza,32.0944,-6.6025,Béni Mellal-Khénifra
Douar Trougout,35.18,-3.77,Oriental
Ahlaf,33.2833,-7.2,Casablanca-Settat
Sidi Moussa Ben Ali,33.5594,-7.3817,Casablanca-Settat
El Khemis des Beni Chegdal,32.4441,-6.9551,Béni Mellal-Khénifra
Amdel,31.5617,-8.8944,Marrakech-Safi
Ain Legdah,34.1667,-4.5,Fès-Meknès
Laqraqra,32.4333,-7.4333,Marrakech-Safi
Douar Sgarta,32.1667,-7.6333,Marrakech-Safi
Lahfayr,30.57,-8.4878,Souss-Massa
Boudenib,31.9497,-3.6078,Drâa-Tafilalet
Tilmi,31.8189,-5.7718,Drâa-Tafilalet
Douar Oulad Naoual,34.4936,-5.7108,Rabat-Salé-Kénitra
Lamsabih,32.2933,-8.6889,Marrakech-Safi
Ouaklim Oukider,31.45,-5.55,Drâa-Tafilalet
Jem’at Oulad ’Abbou,33.1156,-7.9333,Casablanca-Settat
Lafrayta,31.9167,-7.25,Marrakech-Safi
Commune Sidi Youssef Ben Ahmed,33.7861,-4.8152,Fès-Meknès
El Ghourdane,32.3205,-8.7637,Marrakech-Safi
Jamaat Shaim,32.3486,-8.8431,Marrakech-Safi
Touama,31.5339,-7.4872,Marrakech-Safi
Sidi Abdellah Ben Taazizt,34.0019,-5.3695,Fès-Meknès
Iygli,29.5001,-9.0501,Souss-Massa
Tissa,35.0228,-4.1408,Fès-Meknès
Douar Jwalla,31.89,-7.44,Marrakech-Safi
Boujediane,35.1114,-5.7823,Tanger-Tétouan-Al Hoceïma
Douar Ain Maatouf,34.4352,-4.5566,Fès-Meknès
Zaouiet Says,32.7931,-8.6506,Casablanca-Settat
